narration,amount,date
home depot purchase clothing,400.0,2026-02-27
trader joes produce,167.32,2026-02-01
walmart weekly shopping,32.65,2026-02-10
online order at nike ref#7910,290.66,2026-02-23
lab work at rite aid ref#8961,255.66,2026-02-26
bakery at costco,159.68,2026-02-17
bill payment at verizon ref#8570,88.98,2026-02-21
pg&e purchase internet,126.54,2026-02-03
ubereats - lunch,43.54,2026-02-02
best buy - home goods,239.33,2026-02-12
water company purchase internet ref#3495,300.0,2026-02-05
ikea purchase home goods ref#6574,231.86,2026-02-12
spectrum internet ref#4902,113.74,2026-02-10
payment to pg&e for phone service ref#8310,300.0,2026-02-18
grocery at walmart ref#3005,150.24,2026-02-01
venmo payment 5013,472.44,2026-02-07
whole foods weekly shopping ref#8135,109.99,2026-02-25
costco - weekly shopping,119.25,2026-02-05
payment to whole foods for weekly shopping,115.11,2026-02-23
urgent care purchase copay,184.26,2026-02-07
concert tickets at netflix,81.28,2026-02-18
netflix purchase monthly subscription,150.0,2026-02-18
home depot - home goods,230.63,2026-02-15
walmart grocery,200.11,2026-02-11
doordash lunch,40.94,2026-02-24
target purchase shoes,196.26,2026-03-02
toll at shell,100.0,2026-02-10
payment to acme corp 3455,359.61,2026-02-01
payment to spotify for movie tickets ref#5770,50.59,2026-03-01
online order at target,202.04,2026-02-09
walmart - bread milk eggs ref#9015,250.0,2026-02-18
uber - toll,60.7,2026-02-25
lunch at doordash,45.1,2026-02-09
monthly service at electric company,215.13,2026-03-02
payment to uber for parking fee ref#4562,43.01,2026-02-17
hospital checkup ref#5610,104.65,2026-02-21
electronics at macys,119.27,2026-02-17
babies r us baby food ref#2135,91.78,2026-02-14
olive garden coffee,27.78,2026-02-02
mcdonalds breakfast,29.23,2026-02-05
amazon purchase pacifier,56.61,2026-02-12
starbucks purchase lunch,80.0,2026-02-10
coffee at chipotle,37.73,2026-02-24
payment to trader joes for deli ref#3230,134.61,2026-03-01
best buy purchase clothing ref#5278,265.09,2026-02-24
streaming service at concert venue,40.16,2026-02-28
albertsons purchase weekly shopping,59.18,2026-02-03
bakery at albertsons,250.0,2026-02-08
amazon purchase wipes,51.96,2026-02-06
nike purchase home goods,127.28,2026-02-12
walmart purchase bakery ref#6789,250.0,2026-02-27
home depot - online order,204.33,2026-02-12
water company phone service,300.0,2026-02-24
starbucks purchase breakfast,37.51,2026-02-14
ubereats delivery,80.0,2026-02-26
rite aid - copay ref#9548,499.21,2026-02-07
nike electronics,354.44,2026-02-28
parking fee at parking garage,77.86,2026-02-21
wire transfer 3349,155.31,2026-02-26
payment to playstation for monthly subscription,103.27,2026-03-01
payment to kroger for deli,71.32,2026-02-23
payment to spotify for movie tickets,47.97,2026-02-22
produce at kroger,220.4,2026-02-28
payment to costco for bakery,210.01,2026-03-01
ikea shoes ref#3196,160.76,2026-02-26
hospital - medicine,388.54,2026-02-08
cvs pharmacy purchase x-ray,500.0,2026-02-04
disney plus concert tickets,69.39,2026-02-06
starbucks breakfast,25.84,2026-02-16
mcdonalds - coffee,30.92,2026-02-12
rite aid purchase lab work,354.0,2026-02-11
meat department at publix,68.23,2026-02-02
shell - parking fee,29.52,2026-02-17
deli at walmart ref#1668,118.83,2026-02-20
olive garden purchase takeout,27.17,2026-02-25
furniture at home depot,107.87,2026-02-03
x-ray at rite aid,479.94,2026-02-23
hulu - concert tickets,18.66,2026-02-25
toll at uber ref#2884,53.52,2026-02-13
netflix - movie tickets ref#7809,30.22,2026-02-01
bread milk eggs at safeway,83.52,2026-02-15
monthly service at comcast,213.57,2026-02-19
delivery at ubereats,45.16,2026-02-05
kroger - weekly shopping,149.85,2026-02-05
grocery at kroger,74.73,2026-03-01
coffee at starbucks,15.93,2026-02-25
payment to rite aid for copay ref#3248,277.92,2026-02-24
crib at target,150.0,2026-02-03
payment to starbucks for breakfast,51.55,2026-02-28
check deposit # 1963,38.62,2026-02-13
safeway - deli,132.76,2026-02-09
albertsons - deli,101.67,2026-02-19
game purchase at hulu,59.62,2026-02-01
venmo payment 2487,342.8,2026-02-13
cable at spectrum,271.82,2026-02-10
payment to disney plus for movie tickets ref#8800,67.92,2026-02-15
home depot purchase shoes ref#7926,289.63,2026-02-03
pg&e - phone service ref#5399,242.33,2026-02-05
payment to rite aid for checkup,500.0,2026-03-02
transit pass at parking garage,75.73,2026-02-27
formula at target,150.0,2026-02-07
costco produce,169.23,2026-02-25
steam streaming service,73.96,2026-02-04
parking fee at taxi,23.71,2026-02-02
best buy - online order,144.72,2026-02-04
home goods at best buy,276.73,2026-02-12
kroger weekly shopping,52.1,2026-02-02
water company monthly service,109.79,2026-02-20
walmart - produce,228.14,2026-02-10
baby lotion at walmart,84.14,2026-02-07
bakery at safeway ref#9081,204.7,2026-02-22
lab work at urgent care,116.44,2026-02-20
whole foods purchase meat department,228.13,2026-03-01
pacifier at target,37.82,2026-02-22
chevron purchase fuel ref#3457,62.07,2026-02-19
walmart purchase stroller ref#8591,150.0,2026-02-27
deli at safeway,66.79,2026-02-19
wire transfer 6787,154.65,2026-02-03
medicine at dental office,108.85,2026-02-18
publix weekly shopping,58.15,2026-02-17
payment to amc theaters for movie tickets,58.38,2026-03-02
prescription pickup at urgent care,393.65,2026-02-20
furniture at ikea ref#8287,322.39,2026-02-27
steam streaming service ref#9616,64.2,2026-02-15
doordash - lunch ref#7699,59.53,2026-02-25
cash deposit 1766,302.16,2026-02-25
target pacifier,66.59,2026-02-21
amc theaters purchase concert tickets,58.68,2026-02-24
lyft purchase parking fee,42.35,2026-02-16
walmart purchase meat department,112.27,2026-02-18
albertsons deli,223.69,2026-02-14
parking garage - parking fee,45.94,2026-02-24
payment to whole foods for grocery ref#7360,212.03,2026-02-05
home goods at nike ref#1086,356.15,2026-02-28
taxi purchase fuel,59.57,2026-02-01
albertsons - bread milk eggs,250.0,2026-02-02
whole foods deli,109.72,2026-02-07
payment to olive garden for delivery,63.47,2026-02-10
dental office purchase checkup,152.12,2026-02-09
walmart weekly shopping,250.0,2026-02-08
starbucks - takeout,41.57,2026-02-23
deli at walmart,167.33,2026-02-10
check deposit # 7845,329.43,2026-02-21
payment to doordash for dinner,42.06,2026-02-23
ikea clothing,383.26,2026-02-15
amazon shoes ref#5990,191.95,2026-02-15
checkup at walgreens ref#2206,126.07,2026-02-22
weekly shopping at publix,117.86,2026-02-18
albertsons produce,132.79,2026-02-18
coffee at chipotle,46.58,2026-02-15
payment to costco for weekly shopping,141.03,2026-02-23
walmart onesie,58.3,2026-02-01
mcdonalds dinner,69.6,2026-02-17
clothing at best buy,142.62,2026-02-28
costco - weekly shopping ref#9080,119.73,2026-02-10
electronics at nike,400.0,2026-02-08
dinner at ubereats ref#2226,21.8,2026-02-05
cvs pharmacy - prescription pickup,125.93,2026-02-25
steam purchase game purchase,91.43,2026-02-09
payment to trader joes for meat department,89.25,2026-02-26
bakery at costco,67.51,2026-02-21
payment to bp for fuel,33.71,2026-02-20
payment to ubereats for takeout,23.35,2026-02-21
payment to kroger for meat department,250.0,2026-02-01
rite aid - medicine,292.28,2026-02-05
parking fee at metro ref#6093,16.93,2026-02-25
lyft purchase toll,93.16,2026-02-07
payment to target for home goods,110.75,2026-02-03
produce at whole foods,250.0,2026-02-10
olive garden - takeout ref#5599,34.25,2026-02-24
x-ray at rite aid,183.27,2026-02-14
hospital lab work,306.69,2026-02-24
kroger - deli,226.76,2026-02-18
dental office purchase checkup ref#9766,115.09,2026-02-15
pg&e monthly service,117.95,2026-02-11
olive garden - coffee ref#2571,53.88,2026-02-20
taxi - ride to,81.12,2026-02-26
nordstrom electronics,400.0,2026-02-24
buybuybaby purchase baby food,74.38,2026-02-25
zelle transfer 9972,76.35,2026-02-05
payment to amazon for online order,192.45,2026-02-17
payment to doordash for dinner ref#1839,67.32,2026-02-25
trader joes - produce,250.0,2026-03-01
whole foods purchase bread milk eggs,78.42,2026-02-19
hulu movie tickets,82.06,2026-02-04
amazon home goods,316.31,2026-02-13
whole foods weekly shopping,250.0,2026-02-22
disney plus movie tickets,50.66,2026-02-11
buybuybaby onesie,150.0,2026-02-04
subway delivery ref#5479,21.79,2026-02-11
costco bakery ref#1343,168.25,2026-02-07
payment to hospital for copay ref#5235,180.51,2026-02-06
verizon - phone service,229.36,2026-02-26
chipotle - delivery,43.93,2026-02-16
att - monthly service ref#8532,173.02,2026-02-08
payment to home depot for electronics ref#7320,136.32,2026-02-10
pizza hut - coffee,22.49,2026-02-13
chipotle takeout ref#7858,50.8,2026-02-16
consultation fee at dental office ref#5728,208.19,2026-02-03
payment to amc theaters for game purchase,114.0,2026-02-13
macys - online order,261.27,2026-02-28
parking garage gas,88.22,2026-02-28
shell - gas,24.91,2026-02-14
spectrum purchase bill payment ref#4449,130.04,2026-02-23
walmart bottles,85.2,2026-02-13
costco purchase bakery,140.59,2026-02-26
nordstrom home goods ref#3860,153.83,2026-02-11
walgreens x-ray,291.95,2026-02-01
gas at metro,35.64,2026-03-01
starbucks purchase coffee ref#1297,72.79,2026-02-24
fuel at uber,100.0,2026-02-05
dinner at chipotle,53.31,2026-02-10
whole foods purchase bakery,45.94,2026-02-25
payment to disney plus for movie tickets ref#3945,134.0,2026-02-19
dental office - consultation fee,263.65,2026-02-17
electronics at nordstrom,79.93,2026-03-01
doordash - lunch,35.88,2026-02-28
game purchase at netflix,95.33,2026-02-19
rite aid checkup,150.83,2026-02-08
payment to walmart for crib ref#4317,84.51,2026-02-07
costco - deli,130.03,2026-02-01
subway dinner,26.11,2026-02-28
verizon - phone service,135.18,2026-02-18
safeway purchase bakery ref#1056,196.71,2026-02-09
dr smith clinic purchase lab work,200.05,2026-02-09
olive garden - breakfast ref#3137,66.59,2026-02-05
shell purchase toll,84.03,2026-02-27
metro transit pass ref#9069,61.44,2026-02-20
payment to concert venue for monthly subscription ref#1979,42.59,2026-02-12
payment to whole foods for bakery,188.92,2026-02-17
ride to at chevron ref#3088,67.58,2026-02-11
game purchase at concert venue,93.06,2026-02-22
playstation purchase concert tickets,150.0,2026-02-23
home depot - furniture,290.96,2026-02-08
consultation fee at walgreens,189.85,2026-02-23
game purchase at amc theaters ref#4609,66.26,2026-02-03
payment to nike for clothing,145.97,2026-02-24
macys purchase furniture,70.73,2026-02-19
payment to urgent care for x-ray ref#4319,290.93,2026-03-02
macys shoes,366.33,2026-03-01
pg&e - internet,165.34,2026-02-28
payment to chipotle for takeout,80.0,2026-02-14
publix bakery,75.69,2026-02-19
comcast - monthly service,158.03,2026-02-21
payment to hospital for copay,193.84,2026-02-06
target - baby lotion ref#1371,116.0,2026-02-17
payment to albertsons for bakery,96.86,2026-02-26
concert tickets at netflix ref#5756,141.77,2026-02-10
steam concert tickets ref#9097,97.64,2026-02-17
netflix - streaming service,94.82,2026-03-01
onesie at babies r us ref#7487,46.71,2026-02-23
trader joes purchase weekly shopping ref#9040,77.8,2026-02-07
att - cable ref#9382,82.29,2026-02-06
costco weekly shopping,87.73,2026-03-02
medicine at cvs pharmacy,276.31,2026-02-07
walmart purchase pacifier,95.02,2026-02-22
amc theaters purchase game purchase,63.06,2026-02-27
meat department at trader joes,201.71,2026-02-22
deli at albertsons ref#4598,139.17,2026-02-12
shoes at nike,192.38,2026-02-13
movie tickets at hulu,45.49,2026-02-27
lunch at starbucks,62.96,2026-02-08
coffee at starbucks,80.0,2026-02-14
nordstrom - furniture ref#2227,267.4,2026-02-18
payment to whole foods for deli,228.01,2026-02-07
doordash dinner ref#3252,41.13,2026-02-23
ikea purchase furniture ref#7647,354.63,2026-02-08
costco - meat department ref#7291,250.0,2026-02-13
ubereats - coffee,24.24,2026-02-17
payment to target for furniture,154.91,2026-02-27
x-ray at dr smith clinic,312.46,2026-02-06
dinner at olive garden,25.41,2026-02-17
payment to publix for produce,89.96,2026-02-15
payment to parking garage for gas ref#3028,64.69,2026-02-26
payment to trader joes for meat department,114.81,2026-02-04
payment to trader joes for bread milk eggs ref#1646,109.57,2026-02-27
best buy purchase home goods,141.08,2026-02-15
whole foods weekly shopping ref#4803,114.84,2026-02-15
walmart - bakery,76.97,2026-02-02
cvs pharmacy - copay,500.0,2026-02-21
ubereats - breakfast,65.77,2026-02-19
trader joes - bakery,173.49,2026-02-13
mobile deposit 5797,437.24,2026-02-01
cvs pharmacy purchase prescription pickup,403.81,2026-02-02
albertsons - bread milk eggs,181.57,2026-02-26
bakery at publix,108.67,2026-02-27
whole foods purchase grocery ref#6646,250.0,2026-02-08
payment to walmart for crib,150.0,2026-02-22
bp - transit pass,66.1,2026-02-04
takeout at pizza hut,27.5,2026-02-21
disney plus monthly subscription,81.48,2026-02-24
walmart produce,250.0,2026-02-01
hospital consultation fee ref#8409,242.18,2026-02-24
kroger purchase deli,47.78,2026-02-11
dental office - x-ray,76.95,2026-02-18
dental office purchase x-ray,238.43,2026-02-09
formula at target ref#2554,143.11,2026-02-22
disney plus concert tickets ref#4362,102.45,2026-02-23
mobile deposit 2668,49.83,2026-02-04
whole foods purchase bakery,142.02,2026-02-14
cvs pharmacy - consultation fee ref#2285,440.34,2026-02-22
delivery at doordash,80.0,2026-02-08
payment to subway for takeout,44.76,2026-02-16
doordash - dinner ref#6743,39.01,2026-02-27
bread milk eggs at trader joes ref#8523,157.55,2026-02-19
delivery at chipotle ref#3079,36.28,2026-02-12
best buy purchase shoes,215.32,2026-02-17
hospital consultation fee,124.51,2026-02-06
bp purchase fuel,100.0,2026-02-14
buybuybaby - crib,43.47,2026-02-15
parking garage purchase fuel ref#1586,33.01,2026-02-19
ride to at metro,73.01,2026-02-06
prescription pickup at cvs pharmacy,484.84,2026-02-02
steam purchase streaming service,80.32,2026-02-17
meat department at trader joes,158.45,2026-02-20
dinner at chipotle ref#5157,20.72,2026-02-02
ubereats purchase coffee,20.67,2026-02-02
payment to hulu for monthly subscription,74.85,2026-02-16
parking garage ride to,100.0,2026-02-13
payment to disney plus for concert tickets,78.55,2026-02-22
movie tickets at netflix ref#9643,39.55,2026-02-05
taxi purchase gas ref#1344,100.0,2026-02-02
payment to ubereats for breakfast ref#6332,34.46,2026-02-01
subway purchase lunch,80.0,2026-02-15
payment to amazon for onesie,45.76,2026-02-09
payment to publix for bread milk eggs,108.07,2026-02-26
payment to disney plus for monthly subscription,150.0,2026-02-20
payment to nike for clothing,252.44,2026-02-21
payment to subway for breakfast ref#5281,46.54,2026-02-09
formula at amazon,44.56,2026-02-16
walmart - deli,79.45,2026-02-23
publix produce ref#2881,102.16,2026-02-03
payment to electric company for monthly service,300.0,2026-02-03
grocery at albertsons ref#1272,172.31,2026-02-18
online order at nike ref#5876,155.55,2026-02-14
steam - game purchase,78.61,2026-02-14
payment to buybuybaby for baby food ref#9221,54.23,2026-02-05
gas at lyft,65.39,2026-02-18
cash deposit 3196,312.76,2026-02-26
gas at bp,37.24,2026-02-09
urgent care purchase checkup,199.68,2026-02-02
fuel at chevron ref#8046,50.54,2026-02-17
mobile deposit 1275,157.86,2026-02-24
mobile deposit 9732,119.96,2026-02-07
payment to kroger for produce ref#3824,106.91,2026-02-23
bp purchase gas,80.62,2026-02-18
lyft - toll,34.85,2026-02-23
netflix game purchase,62.43,2026-03-02
hulu - movie tickets,94.02,2026-02-20
chipotle purchase dinner ref#5485,51.71,2026-02-15
payment to acme corp 8788,190.48,2026-02-14
payment to albertsons for bread milk eggs,133.83,2026-02-05
wire transfer 4200,132.47,2026-02-01
delivery at olive garden,80.0,2026-02-21
copay at cvs pharmacy,395.44,2026-03-01
lyft purchase toll,89.76,2026-02-03
ikea - clothing ref#8073,315.48,2026-02-01
uber - fuel,100.0,2026-02-08
lunch at doordash ref#7207,38.07,2026-02-18
payment to water company for phone service,232.0,2026-02-19
chipotle breakfast,35.64,2026-02-15
metro parking fee ref#6509,47.19,2026-02-13
water company bill payment ref#2612,249.93,2026-02-16
costco grocery,147.92,2026-02-24
payment to urgent care for copay,186.61,2026-02-10
payment to cvs pharmacy for checkup,500.0,2026-02-03
doordash coffee,42.39,2026-02-25
starbucks takeout ref#2090,30.84,2026-02-15
electronics at best buy,231.06,2026-02-16
kroger purchase weekly shopping,61.45,2026-02-02
payment to spectrum for phone service,146.85,2026-02-21
payment to whole foods for weekly shopping ref#3017,250.0,2026-02-03
coffee at pizza hut ref#1728,22.11,2026-02-06
spotify purchase game purchase,18.67,2026-02-25
hospital medicine,301.64,2026-03-02
starbucks - lunch,18.13,2026-02-22
trader joes purchase grocery ref#2219,82.31,2026-02-24
ubereats - breakfast ref#3492,40.44,2026-02-08
cash deposit 4976,18.96,2026-02-06
electric company monthly service ref#6365,85.72,2026-02-07
shell - parking fee ref#2290,74.8,2026-02-18
payment to pizza hut for delivery ref#6657,69.27,2026-02-23
bread milk eggs at albertsons,221.17,2026-02-04
electric company purchase bill payment,146.39,2026-02-20
lyft parking fee,59.68,2026-02-05
kroger purchase bread milk eggs ref#4290,166.79,2026-02-28
consultation fee at dr smith clinic,417.16,2026-02-28
payment to babies r us for pacifier,50.82,2026-02-17
payment to amazon for furniture,82.18,2026-03-02
safeway - bread milk eggs,128.79,2026-02-06
taxi purchase toll ref#3551,64.4,2026-02-07
babies r us purchase stroller,61.65,2026-02-07
ubereats purchase lunch,79.33,2026-02-18
taxi purchase transit pass,29.18,2026-02-10
payment to bp for gas,100.0,2026-02-09
fuel at uber,26.32,2026-02-22
transfer to john doe 6113,325.15,2026-02-12
nike purchase electronics,157.32,2026-02-04
parking garage - ride to ref#9355,100.0,2026-02-11
parking fee at parking garage ref#9385,84.64,2026-02-10
buybuybaby - stroller ref#5353,81.23,2026-02-20
concert tickets at netflix,28.24,2026-02-15
payment to nike for electronics,347.19,2026-02-19
payment to amc theaters for game purchase,24.62,2026-02-06
lab work at cvs pharmacy ref#1489,354.36,2026-02-02
payment to amazon for pacifier ref#4646,77.32,2026-02-25
starbucks - coffee,69.94,2026-02-12
taxi purchase fuel,51.55,2026-02-16
crib at amazon,119.17,2026-02-12
costco purchase meat department ref#5341,250.0,2026-02-02
lyft parking fee,33.38,2026-03-01
pizza hut lunch,24.28,2026-02-15
whole foods grocery ref#3805,88.0,2026-02-18
doordash - delivery,37.17,2026-02-12
urgent care purchase prescription pickup,268.29,2026-02-05
walmart deli,130.18,2026-02-16
cable at verizon,250.11,2026-02-19
